co_ibge6,municipio,uf,uf_nome,regiao,populacao_2022,ubs,ubs_com_coord,ubs_por_10k_hab,habitantes_por_ubs,gap_ubs_para_media_nacional,cadastro_populacao_base,pessoas_vinculadas_aps,pct_populacao_vinculada_aps,qtd_indicadores_previne,media_indicadores_previne,indicadores_abaixo_50,indicadores_abaixo_30,previne_citopatologico,previne_diabetes_hemoglobina_glicada,previne_gestantes_atendimento_odontologico,previne_gestantes_sifilis_hiv,previne_pre_natal_6_consultas,previne_vacinacao_criancas_1_ano,sinais_de_oportunidade,score_heuristico_oportunidade
330185,Guapimirim - RJ,RJ,Rio de Janeiro,SUDESTE,51696,0,0,0.0,0.0,12.176821717169497,54300,18395.0,33.87661141804788,6,33.833333333333336,6,3,25.0,34.0,26.0,44.0,26.0,48.0,municipio_5k_mais_sem_ubs_no_arquivo;ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,21
431730,Santa Vitória do Palmar - RS,RS,Rio Grande do Sul,SUL,30983,0,0,0.0,0.0,7.297943114806999,31961,13429.0,42.01683301523732,6,33.666666666666664,5,2,19.0,11.0,32.0,47.0,36.0,57.0,municipio_5k_mais_sem_ubs_no_arquivo;ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50,19
310620,Belo Horizonte - MG,MG,Minas Gerais,SUDESTE,2315560,170,170,0.7341636580352053,13620.941176470587,375.42249488178976,2416339,831952.0,34.43026826947709,6,19.833333333333332,6,5,19.0,7.0,23.0,20.0,10.0,40.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
352210,Itanhaém - SP,SP,São Paulo,SUDESTE,112476,11,11,0.9779864148796187,10225.09090909091,15.493349571733916,117435,51925.0,44.21594924852046,6,22.166666666666668,5,5,18.0,2.0,17.0,22.0,9.0,65.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
150070,Anajás - PA,PA,Pará,NORTE,28011,1,1,0.3570026061190247,28011.0,5.597898350348863,30003,14416.0,48.04852848048529,6,24.833333333333332,5,4,3.0,1.0,4.0,79.0,13.0,49.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
330510,São João de Meriti - RJ,RJ,Rio de Janeiro,SUDESTE,440962,22,22,0.4989092030605812,20043.727272727272,81.86713977960571,466536,119394.0,25.59159421780956,6,27.833333333333332,6,4,26.0,7.0,24.0,40.0,22.0,48.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
351870,Guarujá - SP,SP,São Paulo,SUDESTE,287634,24,23,0.8343937086714366,11984.75,43.751236803550206,294973,81465.0,27.617781966485065,6,29.666666666666668,5,4,18.0,6.0,24.0,31.0,23.0,76.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
150040,Alenquer - PA,PA,Pará,NORTE,69377,6,6,0.8648399325424853,11562.833333333334,10.341522753637966,74836,32584.0,43.54054198514084,6,29.833333333333332,5,4,18.0,8.0,8.0,70.0,28.0,47.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
150140,Belém - PA,PA,Pará,NORTE,1303403,98,95,0.7518779686712399,13300.030612244898,209.0122631658905,1398531,357310.0,25.54895100644891,6,30.0,4,4,12.0,6.0,29.0,58.0,23.0,52.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
160030,Macapá - AP,AP,Amapá,NORTE,442933,40,35,0.9030711191083075,11073.325,64.33140230677496,487200,172253.0,35.35570607553366,6,31.166666666666668,5,3,12.0,8.0,36.0,49.0,16.0,66.0,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40;quatro_ou_mais_indicadores_abaixo_50;tres_ou_mais_indicadores_abaixo_30,18
