uf,municipios,populacao_2022,ubs,ubs_por_10k_hab,habitantes_por_ubs,pct_populacao_vinculada_aps,media_indicadores_previne_ponderada
AC,22,830018,281,3.385468748870506,2953.8007117437724,49.25854302199218,42.610329133424415
AL,102,3127683,1005,3.213241239601328,3112.1223880597013,50.37237927719105,59.68587492189373
AM,62,3941613,710,1.8012930239473028,5551.5676056338025,47.698815918587485,53.957707542572045
AP,16,733759,163,2.2214378290419607,4501.588957055214,43.01620378731922,36.07244067875148
BA,417,14141626,4463,3.1559312910693578,3168.636791395922,50.431402605418405,49.7847228223025
CE,184,8794957,2501,2.8436750742499366,3516.576169532187,54.887370722929255,56.48458955891804
DF,1,2817381,210,0.7453730965034548,13416.1,28.112543239312622,40.833333333333336
ES,78,3833712,947,2.470190770720388,4048.270327349525,37.132230605132115,48.383257401703624
GO,246,7056495,1619,2.294340178799815,4358.551575046325,32.260709942462285,46.3360975243375
MA,217,6776699,2379,3.510558754343376,2848.5493905002104,54.986963268938915,51.125416002688034
MG,853,20539989,6158,2.998054185910226,3335.4967521922704,37.84727734412134,44.752661462801534
MS,79,2757013,705,2.5571152548065603,3910.6567375886525,35.3934584125201,47.82731317069112
MT,141,3658649,1063,2.9054440587222223,3441.8146754468485,34.15741078418755,55.654270242011926
PA,144,8120131,1851,2.279519874740937,4386.888708806051,46.606721877089754,47.47684688420258
PB,223,3974687,1787,4.4959515051122265,2224.223279238948,54.55095728871133,50.62854140045074
PE,185,9058931,3014,3.3271033855981464,3005.6174518911744,49.0706234355719,49.274724265662975
PI,224,3271199,1285,3.928223260034012,2545.6801556420232,60.11003523473729,53.058982195824825
PR,399,11444380,2365,2.066516491063736,4839.061310782241,31.99523200023003,52.32348828274958
RJ,92,16055174,2388,1.4873709870724539,6723.272194304857,32.313099448601804,39.8912079266991
RN,167,3302729,1140,3.451691010676323,2897.130701754386,50.52998037475142,51.11150672670994
RO,52,1581196,347,2.1945413471827653,4556.760806916426,34.540354719060005,45.34961626094004
RR,15,636707,168,2.638576299616621,3789.9226190476193,38.64128137412056,45.24972815858262
RS,497,10882965,2349,2.158419144047601,4633.020434227331,31.86366949349127,48.07302120025809
SC,295,7610361,2059,2.705522116493554,3696.144244779019,27.996928934517236,51.465960616060116
SE,75,2210004,592,2.6787281832974057,3733.114864864865,53.244653060547506,50.57885475923722
SP,645,44411238,5827,1.3120552955537965,7621.629998283851,26.71250120233108,42.951954420485514
TO,139,1511460,459,3.0367988567345483,3292.9411764705883,44.77259845994084,54.271209625130695
