nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_de_oportunidade,score_heuristico_oportunidade
municipio,SUL,SC,Santa Catarina,421190,Palhoça,253469,1,1,1,22,0,0,0,0.0,0.0,0.8679562392245206,0.0,0.0,0.0,419.8572087343011,38.030854090545915,municipio_50k_mais_sem_leitos_sus;municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,17
municipio,SUL,PR,Paraná,410040,Almirante Tamandaré,125861,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,208.4817005176486,18.884365846277845,municipio_50k_mais_sem_leitos_sus;municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,15
municipio,SUDESTE,SP,São Paulo,352500,Jandira,121550,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,201.3407703571415,18.237537192737005,municipio_50k_mais_sem_leitos_sus;municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,15
municipio,SUDESTE,SP,São Paulo,353980,Poá,106355,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,176.17110350747666,15.957657491843225,municipio_50k_mais_sem_leitos_sus;municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,15
municipio,NORDESTE,PE,Pernambuco,260345,Camaragibe,156112,14,14,1,646,41,0,0,6.3467492260061915,0.0,41.380547299374804,2.6263195654401965,0.0,0.0,217.59078849851153,23.42326948772159,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,12
municipio,NORDESTE,PE,Pernambuco,260005,Abreu e Lima,104248,3,3,1,106,4,0,0,3.7735849056603774,0.0,10.168060778144424,0.38370040672243116,0.0,0.0,168.6809759620838,15.641520174976941,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,12
municipio,SUDESTE,SP,São Paulo,354330,Ribeirão Pires,118954,2,2,1,144,43,0,0,29.86111111111111,0.0,12.105519780755587,3.61484271230896,0.0,0.0,154.04064168707043,17.848029611064067,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional;baixa_participacao_sus_na_capacidade_existente,12
municipio,SUDESTE,RJ,Rio de Janeiro,330045,Belford Roxo,518384,11,11,1,595,359,1,0,60.33613445378151,0.0,11.477977715361586,6.925368066915645,0.19290718849347202,0.0,499.6740756957338,77.77908251846794,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,SUL,PR,Paraná,410580,Colombo,241672,3,3,1,43,39,0,0,90.69767441860465,0.0,1.7792710781555166,1.6137574894898872,0.0,0.0,361.3161386569404,36.26081520726563,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,NORDESTE,MA,Maranhão,211120,São José de Ribamar,259164,3,3,1,111,77,0,0,69.36936936936937,0.0,4.283002268833634,2.971091663965674,0.0,0.0,352.29065741537005,38.885340098876945,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,CENTRO-OESTE,GO,Goiás,522185,Valparaíso de Goiás,218416,3,3,1,66,23,0,0,34.84848484848485,0.0,3.0217566478646254,1.0530364075891876,0.0,0.0,338.79387658021733,32.77145144787203,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,CENTRO-OESTE,GO,Goiás,520025,Águas Lindas de Goiás,245352,2,2,1,139,91,40,0,65.46762589928058,0.0,5.665329811862141,3.7089569271903224,16.303107372265156,0.0,315.4118526422492,36.81296771133204,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,NORDESTE,SE,Sergipe,280480,Nossa Senhora do Socorro,204081,1,1,1,57,57,0,0,100.0,0.0,2.793008658326841,2.793008658326841,0.0,0.0,281.04875158581484,30.620607386515513,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,NORDESTE,MA,Maranhão,210750,Paço do Lumiar,153158,1,1,1,26,26,0,0,100.0,0.0,1.6975933349873986,1.6975933349873986,0.0,0.0,227.69765287008704,22.980047070055235,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,SUDESTE,SP,São Paulo,354730,Santana de Parnaíba,163787,1,1,1,76,74,0,0,97.36842105263158,0.0,4.64017290749571,4.518063094140561,0.0,0.0,197.30399633471933,24.574837549870963,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,SUL,PR,Paraná,410765,Fazenda Rio Grande,165943,1,1,1,84,84,0,0,100.0,0.0,5.061979113309992,5.061979113309992,0.0,0.0,190.87528963698176,24.898326897362047,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,SUDESTE,MG,Minas Gerais,317120,Vespasiano,138583,1,1,1,56,48,0,0,85.71428571428571,0.0,4.040899677449615,3.463628294956813,0.0,0.0,181.55498131142528,20.79319306278134,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,SUDESTE,RJ,Rio de Janeiro,330452,Rio das Ostras,168455,4,4,1,129,99,16,0,76.74418604651163,0.0,7.6578314683446616,5.8769404291947405,9.498085542132914,0.0,180.03627700956213,25.2752309979639,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,NORDESTE,PE,Pernambuco,261370,São Lourenço da Mata,118258,1,1,1,33,33,0,0,100.0,0.0,2.790508887348002,2.790508887348002,0.0,0.0,162.88775665071856,17.743600767903683,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,CENTRO-OESTE,GO,Goiás,520549,Cidade Ocidental,101570,1,1,1,24,20,0,0,83.33333333333334,0.0,2.3629024318204195,1.9690853598503495,0.0,0.0,148.2450188825575,15.23970919511557,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,SUL,SC,Santa Catarina,420320,Camboriú,117324,2,2,1,83,47,0,0,56.62650602409639,0.0,7.07442637482527,4.006000477310695,0.0,0.0,147.3406379381429,17.603462061708566,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,NORDESTE,PE,Pernambuco,260720,Ipojuca,106539,2,2,1,32,32,0,0,100.0,0.0,3.003594927679066,3.003594927679066,0.0,0.0,144.47588920674207,15.985265117046547,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
municipio,SUDESTE,RJ,Rio de Janeiro,330227,Japeri,102171,1,1,1,34,30,0,0,88.23529411764706,0.0,3.3277544508715784,2.9362539272396275,0.0,0.0,139.24054173722342,15.329884101350329,municipio_100k_mais_sem_uti_sus;leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,10
