nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional
uf,NORTE,AC,Acre,,,884372,34,34,18,1826,1621,103,81,88.77327491785323,78.64077669902912,20.647419864039115,18.329390799346882,11.646682617721954,9.159041670247362,0.0,51.692449545168316
uf,NORDESTE,AL,Alagoas,,,3220848,98,98,50,7583,6103,690,492,80.48265857839905,71.30434782608695,23.543489168070025,18.94842600458016,21.422929613567607,15.275480246196034,0.0,0.0
uf,NORTE,AM,Amazonas,,,4321616,112,112,62,7482,6174,795,441,82.51804330392943,55.471698113207545,17.3129681119285,14.286322523796654,18.395896349883934,10.20451608842618,984.5149701994937,207.42149348191958
uf,NORTE,AP,Amapá,,,806517,23,23,13,1911,1565,220,79,81.89429618001046,35.90909090909091,23.694478851654708,19.404426689084048,27.277788316923267,9.795205804713353,0.0,42.01097313101334
uf,NORDESTE,BA,Bahia,,,14870907,622,622,346,33979,27020,3346,1694,79.51970334618441,50.627615062761514,22.84931241920886,18.169705452397757,22.500308824471833,11.391369739586159,0.0,537.25232005128
uf,NORDESTE,CE,Ceará,,,9268836,312,312,175,22196,17499,1869,1215,78.83852946476843,65.00802568218299,23.946911996285184,18.879393270093463,20.164344260703285,13.10844209564178,0.0,175.70951282089428
uf,CENTRO-OESTE,DF,Distrito Federal,,,2996899,66,66,1,10314,5637,2089,613,54.653868528214076,29.344183820009572,34.41557423189771,18.809442693931295,69.70538546677749,20.454476443817427,0.0,0.0
uf,SUDESTE,ES,Espírito Santo,,,4126854,113,113,51,10096,6701,1710,933,66.37282091917591,54.56140350877193,24.464155989041533,16.237550443994387,41.435921891106396,22.60802054058612,134.90262041506165,0.0
uf,CENTRO-OESTE,GO,Goiás,,,7423629,444,444,193,19934,13049,2174,1068,65.46102137052272,49.12603495860166,26.852096191768204,17.577656426526705,29.28486862692088,14.386494799241719,0.0,45.851995002723214
uf,NORDESTE,MA,Maranhão,,,7018211,322,322,205,16774,14404,1098,808,85.87099081912484,73.58834244080145,23.900677822311128,20.523748858505392,15.645012667758209,11.512905496856678,0.0,245.0224939446808
