co_ibge6,municipio,uf,regiao,populacao_2025,ubs,ubs_por_10k_hab,pct_populacao_vinculada_aps,media_indicadores_previne,leitos_sus,leitos_sus_por_10k_hab,uti_total_sus,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_aps,sinais_hospitalares,sinais_integrados,oportunidades_geradas,score_integrado
330452,Rio das Ostras,RJ,SUDESTE,168455,14,0.8310824849366301,22.989428848476194,35.333333333333336,99,5.8769404291947405,0,0.0,180.03627700956213,25.2752309979639,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,35
354730,Santana de Parnaíba,SP,SUDESTE,163787,14,0.854768693486052,19.690035172876847,34.0,74,4.518063094140561,0,0.0,197.30399633471933,24.574837549870963,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,35
352500,Jandira,SP,SUDESTE,121550,10,0.8227067050596462,16.608190969603566,36.0,0,0.0,0,0.0,201.3407703571415,18.237537192737005,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,municipio_20k_mais_sem_leitos_sus_no_arquivo;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda;validacao_cadastral_cnes_e_mapa_de_oferta,35
330045,Belford Roxo,RJ,SUDESTE,518384,57,1.0995709744127904,25.488217372260802,22.166666666666668,359,6.925368066915645,0,0.0,499.6740756957338,77.77908251846794,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,33
330510,São João de Meriti,RJ,SUDESTE,466503,22,0.4715939661695637,25.59159421780956,27.833333333333332,249,5.3375862534646075,30,6.430826811403142,523.7361036110044,39.99478250122082,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,33
351907,Hortolândia,SP,SUDESTE,248842,23,0.9242812708465613,20.540894590649778,38.333333333333336,94,3.7774973678076855,10,4.0186142210720055,318.19284226418597,27.336612341547195,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,33
411820,Paranaguá,PR,SUL,150104,13,0.8660661941054203,35.149747361816594,32.833333333333336,116,7.727975270479134,10,6.662047646964771,132.63887283988785,12.521820508256646,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,33
354330,Ribeirão Pires,SP,SUDESTE,118954,13,1.092859424651546,24.164472522018556,36.0,43,3.61484271230896,0,0.0,154.04064168707043,17.848029611064067,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;municipio_100k_mais_sem_uti_sus_no_arquivo,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,33
330170,Duque de Caxias,RJ,SUDESTE,866225,84,0.9697249559871858,16.065387194738367,23.5,1023,11.809864642558228,49,5.65672890992525,411.8532192728498,80.96964750949084,ubs_por_10k_abaixo_de_50pct_media_nacional;mais_de_10k_habitantes_por_ubs;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,31
320130,Cariacica,ES,SUDESTE,376200,39,1.036682615629984,33.60666870847038,31.0,227,6.034024455077087,6,1.5948963317384373,396.15423947640176,50.44559022548466,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_abaixo_de_50pct_media_nacional;uti_sus_por_100k_abaixo_de_50pct_media_nacional,aps_fragil_e_leitos_sus_baixos;desempenho_aps_baixo_e_uti_sus_critica;baixa_densidade_ubs_e_baixo_vinculo;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;gestao_territorial_e_busca_ativa_aps;monitoramento_territorial_preventivo;regulacao_integrada_aps_e_retaguarda,31
