uf,regiao,municipios_priorizados,municipios_alta_prioridade,populacao_priorizada,populacao_alta_prioridade,score_medio_ponderado
SP,SUDESTE,172,73,37706845,26950774,17.278886578816127
MG,SUDESTE,89,31,10834130,6724733,16.004274085690312
RJ,SUDESTE,49,22,15320545,5698803,16.42281942319937
BA,NORDESTE,28,7,5569251,3164417,15.520151453040992
GO,CENTRO-OESTE,33,11,4848448,3005496,15.031581446268993
CE,NORDESTE,10,2,3739750,2956889,16.842813824453508
PA,NORTE,35,13,3686117,2582395,16.537542622765365
PE,NORDESTE,19,9,4608768,2058473,14.324598461020386
PR,SUL,50,12,6081631,1835631,14.202214833487924
RS,SUL,40,16,4192737,1634196,13.287883785698936
ES,SUDESTE,17,4,2459120,1246707,17.008192768144703
SE,NORDESTE,4,3,981401,936226,17.69851161757528
PI,NORDESTE,1,1,905692,905692,17.0
AP,NORTE,2,2,608479,608479,19.19524585071958
SC,SUL,37,5,3933974,550547,12.305628862824207
MA,NORDESTE,11,3,2274662,445541,12.27140559784267
RN,NORDESTE,4,2,1249041,396208,13.48092896870479
AM,NORTE,9,2,402902,130744,11.881581625308387
MS,CENTRO-OESTE,14,2,1431348,44282,11.399392041627893
RR,NORTE,2,1,46701,23589,14.515320871073424
DF,CENTRO-OESTE,1,0,2996899,0,12.0
AL,NORDESTE,3,0,1051842,0,11.945913930038921
PB,NORDESTE,4,0,1213081,0,11.13826282004252
RO,NORTE,5,0,766755,0,10.89311970577303
AC,NORTE,4,0,517630,0,10.854088827927283
MT,CENTRO-OESTE,11,0,746106,0,10.504357289714866
